지명,위치,Y좌표,X좌표
가림역,양강도 보천군 가산리,128.2600531,41.50871501
가응역,함경남도 단천시 가응리,128.9585983,40.52773572
가창역,평안남도 북창군 연류리,126.2896989,39.52926051
각시바위,함경남도 낙원군 송해리,127.8750217,39.98135901
각암역,평안남도 개천시 각암동,125.8634193,39.54237741
간상봉역,양강도 삼지연군,128.3127307,41.57148443
간평역,함경북도 회령시 방원리,129.779331,42.65585128
갈마역,강원도 원산시 갈마동,127.4668765,39.14341264
갈산역,황해남도 청단군 갈산리,125.852473,37.99179176
감호역,강원도 고성군,128.3354077,38.639973
강계선,자강도 장강군,126.8665346,40.96601276
강계역,자강도 강계시 강서동,126.5813341,40.9705052
강구역,양강도 혜산시 강구동,128.1306111,41.37910558
강덕역,함경북도 청진시 송평구역 강덕일동,129.7281598,41.76913491
강동역,평양직할시 강동군,126.1289539,39.13137015
강령역,황해남도 강령군,125.5115765,37.90101399
강상리역,함경남도,128.3223531,40.07964585
강서역,남포특별시 강서구역,125.5217441,38.91723657
강안선,평안북도,125.2510122,40.03186697
강안역,평안북도 신의주시 압강동,124.3854152,40.10265236
강양역,함경북도 온성군,129.8525373,42.91880173
강원선,강원도 원산시,127.4198214,38.93099435
강하역,양강도 김정숙군 강하리,127.6769967,41.41533038
개고청년역,자강도 송원군,126.3008164,40.37221357
개선역,평양직할시 모란봉구역,125.7540306,39.04317562
개천선,평안남도,125.74458,39.65499828
개풍역,황해북도 개성시 개풍군,126.4574515,37.95239414
거산역,함경남도 북청군 평리,128.5133268,40.18603099
거차역,평안남도 양덕군 거상리,126.8022994,39.29165378
거흥역,평안남도 성천군 거흥리,126.330636,39.31873035
건국역,평양직할시 보통강구역,125.710725,39.03260826
건설역,평양직할시 보통강구역,125.7327353,39.03467476
건자역,함경남도 북청군 건자리,128.5617687,40.17526539
건창역,양강도 삼지연군,128.2516899,41.75616292
건하역,자강도 만포시 건하리,126.3463882,41.13146511
검불랑역,강원도 세포군 원남리,127.3191442,38.56085977
검산리역,양강도 혜산시 검산동,128.2604051,41.42335177
경성역,함경북도 경성군,129.6087703,41.58450383
경안역,함경남도 북청군 경안대리,128.434681,40.17310822
경포역,함경남도 홍원군,127.9971209,40.06231156
경흥역,함경남도 신흥군 경흥리,127.5961081,40.28930108
계정역,황해북도 금천군 계정리,126.4538514,38.0665664
고건원선,함경북도 경원군,130.2134338,42.67370795
고건원역,함경북도 새별군,130.2031874,42.66067649
고령진역,함경북도 회령시 인계리,129.7498785,42.52904419
고무산역,함경북도 부령군,129.6962276,42.11683203
고비역,평양직할시 강동군,126.0262462,39.10381007
고산역,강원도 고산군,127.4259912,38.8571258
고성역,강원도 고성군,128.1771015,38.74426147
고안역,평안북도 정주시 암두리,125.2607693,39.75654575
고암역,강원도 문천시 고암동,127.3994172,39.31750099
고원역,함경남도 고원군,127.2487633,39.44072028
고원탄광선,함경남도 수동구,126.9989796,39.41877597
고읍역,평안북도 정주시 오산동,125.3079894,39.60730034
고인역,자강도 전천군,126.392154,40.50365398
고참역,함경북도 명간군,129.3766424,41.12257939
고참탄광선,함경북도 명천군,129.4115876,41.08123887
곡구역,함경남도 이원군 곡구리,128.7588362,40.35588519
곡하역,자강도 강계시 의진동,126.4969114,40.98232423
곤장덕역,양강도 보천군,128.3062527,41.52432121
공북역,자강도 장강군,126.744753,41.01157251
공인역,자강도 강계시 공인동,126.6038007,40.91555515
과일역,황해남도 과일군,125.0239265,38.4407866
곽산역,평안북도 곽산군,125.0792052,39.68496901
관곡역,나선특별시 관곡동,130.3336961,42.30922869
관해역,함경북도 청진시 청암구역 관해동,130.0905498,42.09574534
광명역,강원도 고산군 광명리,127.4104867,38.9791888
광명역,평양직할시 대성구역,125.7839917,39.06526871
광복역,평양직할시 만경대구역,125.7001327,39.03653515
광천역,함경남도 단천시 광천동,128.9945023,40.56191059
구룡평역,나선특별시 홍의리,130.5295337,42.36576717
구성선,평안북도 태천군,125.5217786,39.88243524
구성역,평안북도 구성시 역전동,125.2589925,39.98287196
구시물동역,양강도 보천군,128.2933534,41.55729927
구오역,자강도 만포시 구오동,126.2445299,41.14038157
구운봉역,자강도 자성군,126.5277949,41.37721169
구읍역,평안남도 개천시 구읍리,125.9690973,39.66753255
구장역,평안북도 구장군,126.0917607,39.8963655
구장청년역,평안북도 구장군,126.0227777,39.87050428
구정역,평안남도 은산군 밀전리,126.234416,39.46117437
구중역,자강도 자성군 구중영리,126.5998245,41.38427872
구탄역,황해남도 송화군 구탄리,125.190722,38.33192159
구현역,평안남도 북창군,126.3277119,39.60206049
군사철도창고,평양직할시 형제산구역,125.713604,39.14527488
군성역,함경남도 장진군,127.29384,40.32639919
굴송역,양강도 백암군,128.8173765,41.59093945
귀성역,평안남도 온천군,125.1807016,38.85833242
귀인역,자강도 자성군 귀인리,126.7033693,41.41461075
극동역,함경북도 화성군,129.5383036,41.26418009
근동역,함경북도 청진시 송평구역 근동리,129.7287692,41.81573822
금강산청년선,강원도 통천군,127.9254442,38.88689222
금강산청년역,강원도 고성군 온정리,128.2161477,38.69155673
금골선,함경남도 단천시,128.8653062,40.78724394
금골역,함경남도 단천시 금골일동,128.8123713,40.91949778
금바위역,함경북도 청진시 청암구역 금바위동,129.8125696,41.85673681
금봉강역,강원도 통천군 패천리,127.7827475,39.02526142
금산역,황해남도 재령군 용교리,125.6825578,38.3978876
금산포역,황해남도 은률군,125.1719271,38.57529925
금생역,함경북도 회령시 궁심동,129.7457249,42.47823424
금송역,함경북도 길주군 금송리,129.3469002,41.02106303
금옥역,평양직할시 승호구역 금옥리,126.0896268,39.00839711
금천역,황해북도 금천군,126.4751794,38.16348686
금패역,함경북도 무산군 차유리,129.472514,42.13489692
금평역,평안남도 성천군 금평리,126.2403826,39.39262934
기산청년역,강원도 세포군 기산리,127.1040595,38.59682818
기암역,함경남도 이원군 기암리,128.811419,40.36024007
기탄역,황해북도 평산군 기탄리,126.4786637,38.38950953
긴등역,황해북도 황주군 외상리,125.7778982,38.74127405
길주청년역,함경북도 길주군,129.3233444,40.96089119
나남역,함경북도 청진시 나남구역,129.6971137,41.71807645
나산역,함경남도 낙원군 상송리,127.8259597,39.93257108
나적역,,128.9399979,41.82983159
나죽역,양강도 김형직군 나죽리,127.3610449,41.46224854
나진역,나선특별시,130.2912711,42.24863848
나하대역,함경남도 북청군 나하대리,128.2743515,40.27115802
나흥역,함경남도 이원군,128.5972581,40.19855619
낙랑역,평양직할시 낙랑구역,125.6865575,38.97011077
낙산역,함경북도 청진시 청암구역 낙산동,130.1626019,42.11678017
낙산역,황해남도 장연군,130.1626019,42.11678017
낙생역,평안남도 증산군 낙생리,125.2943458,39.0954155
낙연역,황해남도 장연군,125.141606,38.25217469
낙원역,평안북도 신의주시,127.7727875,39.90607322
낙원역,평양직할시,125.8164972,39.07166608
낙원역,함경남도 낙원군,127.7726092,39.90614256
낙천역,강원도 세포군 삼방리,127.3733396,38.73938805
남강덕역,함경북도 청진시 송평구역 강덕이동,129.7303595,41.7589473
남계역,양강도 백암군,128.8363277,41.21699928
남덕역,평안남도 덕천시 남덕동,126.2927048,39.67816932
남덕천역,평안남도 덕천시 제남동,126.3056302,39.74481355
남동선,평안남도 증산군,125.339676,39.16432512
남동역,평안남도 숙천군 창동리,125.3947588,39.4258439
남문역,자강도 강계시 남문동,126.5995555,40.96376011
남산역,강원도 고산군 금리,127.4634762,39.01874995
남석역,함경북도 길주군 목성리,129.2647451,41.03714253
남신의주역,평안북도 신의주시 연상이동,124.4340754,40.07098809
남애역,강원도 고성군 남애리,128.1381488,38.7921849
남양역,함경북도 온성군,129.8578663,42.95295772
남전역,평안남도 개천시 남전동,126.0046671,39.83293505
남중역,양강도 운흥군,128.5919003,41.28569022
남촌역,함경북도 무산군 독소리,129.1615037,42.17931815
남포역,남포특별시 항구구역 역전동,125.4122977,38.73372715
낭림역,자강도 낭림군,127.1264135,40.96736288
내곡역,양강도 보천군 내곡리,128.3557544,41.53632566
내동역,평안남도 양덕군 상신리,126.716401,39.20706959
내중역,평안북도 염주군 내중리,124.5372754,39.91642845
내포역,함경북도 화성군 고성리,129.3774865,41.15710391
냉정역,황해남도 옹진군 냉정리,125.4065427,37.93690961
노동역,함경북도 길주군 금천리,129.2683705,40.91714523
노상역,평안남도 온천군,125.1979603,38.82856507
노탄역,양강도 김형직군,127.1069332,41.50657018
노하역,평안북도 선천군 노하리,124.9850054,39.73655337
노현역,평안북도 향산군 노현리,126.1107298,39.9955849
농산역,양강도 삼지연군,128.2961313,41.6053397
농촌역,함경남도 허천군,128.6987827,40.6779797
농포역,함경북도 새별군 농포리,130.2116209,42.75009341
농풍역,평안북도 구성시 용풍리,125.385893,39.96243569
늪평역,양강도 혜산시 강구동,128.092554,41.36768598
다사도선,평안북도 염주군,124.3992466,39.90028102
다사도역,평안북도 염주군,124.4285646,39.84386466
다사도항역,평안북도 염주군,124.4158564,39.82131432
다산도선,평안북도,125.2572786,40.03559059
단천청년역,함경남도 단천시,128.9043599,40.45459476
답동역,함경남도 단천시 답동리,128.9565875,40.50849675
대각역,평안남도 개천시,125.9525603,39.63237794
대건역,평안남도 순천시 증산동,126.007366,39.4402462
대관리역,평안북도 대관군,125.2054844,40.30535066
대교역,평안남도 안주시 청송동,125.5768376,39.56197177
대덕역,함경북도 회령시 대덕리,129.790761,42.39460539
대동강역,평양직할시 선교구역 영제동,125.755408,38.98531993
대령강역,평안북도 대관군,125.2099562,40.21165395
대섬,함경남도 낙원군 세포리,127.8165199,39.9111497
대신역,함경남도 단천시 대신동,128.8579681,41.0183282
대신역,함경남도 단천시 대흥일동,128.879394,41.03913273
대안역,평안북도 대관군,125.21839,40.20631626
대오천역,양강도 운흥군,128.3471633,41.42604736
대원역,평양직할시 사동구역 대원리,125.9839993,38.95264329
대응역,양강도 김형직군 대응리,127.3978046,41.45811151
대장역,평안북도 영변군 봉산리,125.650286,39.85853234
대지동역,함경북도 무산군,129.2821745,42.21959267
대진역,양강도 보천군,128.4382949,41.54346891
대택역,양강도 백암군,128.8462515,41.26047659
대풍역,평안남도 평원군 대풍리,125.4140661,39.28319512
대향역,함경북도 경성군,129.5182058,41.54365689
대흥역,함경남도 단천시 대흥일동,128.8591448,41.06023561
덕남역,평안남도 덕천시,126.341174,39.73807018
덕달역,황해남도 청단군 덕달리,125.9725967,38.06477431
덕동역,평양직할시 사동구역 덕동리,125.3317421,38.74557346
덕봉역,평안북도 용천군 덕흥리,124.394356,39.90538641
덕사역,함경남도 덕사동,126.9870113,39.37051276
덕성선,함경남도 덕성군,128.2696419,40.3446817
덕성역,함경남도 덕성군,128.2708384,40.31303734
덕원역,강원도 원산시 세길동,127.3804024,39.17740308
덕현선,평안북도,124.5243629,40.16835394
덕현역,평안북도 의주군,124.6914211,40.22270468
도내역,양강도 백암군,128.8975881,41.32901212
도안역,함경남도 부전군,127.5931013,40.54740761
도평역,함경남도 덕성군 장흥리,128.2961681,40.40390373
독골역,황해북도 승호구역,125.9925576,39.0654519
독산역,양강도 삼지연군,128.2750291,41.64436491
독소역,함경북도 무산군 독소리,129.2210289,42.21019717
돈산역,함경남도 단천시 돈산동,128.8435957,40.85388352
동가리역,강원도 고산군 금천리,127.3842789,38.78329018
동광량역,평안남도 온천군,125.2597428,38.79223528
동남흥역,평안남도 안주시 남평동,125.6905952,39.6531987
동대역,함경남도 단천시 양평리,128.8519478,40.49340073
동덕역,함경남도 단천시 동암동,128.9433519,40.62950536
동림역,평안북도 동림군,124.7141331,39.855976
동부역,자강도 강계시 동부동,126.6177096,40.96225546
동사리원역,황해북도 사리원시,125.8094823,38.4951188
동산역,평안북도 구성시 동산리,125.3116537,39.95127082
동신역,자강도 동신군,126.3125109,40.29961355
동암역,함경남도 단천시 동암동,128.9176534,40.65699648
동양역,함경남도 영광군 동양리,127.4110797,40.04462693
동자바위,함경남도 낙원군,127.8682353,39.94156924
동점역,강원도 이천군 송정리,126.7848684,38.56946021
동정호역,강원도 통천군 군산리,127.69792,39.10391509
동천역,평안북도 철산군,124.6613254,39.77157476
동평양역,평양직할시 역포구역 소삼정리,125.7744288,38.97348155
동평양역전,평양직할시 선교구역 남신일동,125.7710375,39.00680049
동해역,강원도 통천군 구읍리,127.9056194,38.89908571
동흥역,함경남도 신흥군 동흥리,127.5994101,40.24329651
두암역,함경북도 무산군,129.1024877,42.03638019
두언역,함경남도 단천시,128.9290927,40.4280464
두일령역,평안남도 덕천시 구장리,126.2094875,39.82919195
두지역,양강도 김형직군 두지리,127.2195939,41.5178216
두포역,강원도 고성군 두포리,128.0544587,38.84589377
둔전역,함경남도 원거동,126.9931389,39.44306434
마영역,평안남도 온천군,125.3090284,38.94494793
마전역,함경남도 흥남시 마전리,127.6867675,39.84473794
만경대선,평양직할시,125.730706,39.00899402
만달리역,평양직할시 승호구역 만달리,126.0228964,38.99424416
만역,평안북도 향산군,126.1917956,40.02844972
만춘역,함경북도 김책시 만춘리,129.1574917,40.5720416
만포선,자강도 동신군,126.2974079,40.3180709
만풍역,평안남도 숙천군 광천리,125.4466126,39.39905271
매봉역,평안남도 은산군,126.0618358,39.44914864
매화역,황해남도 해주시 작천리,125.8222998,38.03630476
맹중리역,평안북도 박천군,125.5973243,39.64851345
명고역,강원도 통천군 명고리,127.738884,39.07006506
명당역,황해북도 상원군,126.0198682,38.89101703
명천역,함경북도 명천군 고참리,129.3879627,41.08879573
명호역,나선특별시 유현동,130.2453004,42.20170694
모학역,평안남도 순천시 증산동,125.9945627,39.44180765
못가역,양강도 삼지연군,128.3509971,41.82902189
묘향산역,평안북도 향산군,126.1778698,40.03890427
무명역,양강도 백암군,128.8910729,41.80965383
무명역,양강도 삼지연군,128.2551904,41.71829345
무명역,양강도 삼지연군,128.2572941,41.66533354
무명역,양강도 삼지연군,128.2966929,41.62352292
무명역,자강도 희천시,126.2621289,40.18505586
무명역,평안남도 개천시,125.8575357,39.74551104
무명역,평안남도 순천시,125.9491563,39.51726993
무명역,평안남도 안주시,125.6866322,39.63856816
무명역,평안남도 평원군,125.6850068,39.2696781
무명역,평안북도 의주군,124.7178049,40.22302023
무명역,평양직할시 형제산구역,125.7209165,39.07493653
무명역,평양직할시 형제산구역,125.731251,39.07142982
무명역,함경남도 낙원군,127.7725952,39.87588418
무명역,함경북도 길주군,129.3725794,41.06665759
무명역,황해북도 승호구역,126.026167,39.06950098
무산선,함경북도 무산군,129.4692211,42.13450459
무산역,함경북도 무산군,129.2149064,42.22367404
무산철산역,함경북도 무산군,129.256902,42.22385728
무수역,함경북도 부령군,129.6542998,42.15234843
무진대역,평안남도 개천시 묵방동,125.9808474,39.56216742
무창역,양강도 김형직군 무창리,127.300111,41.47577807
무학역,함경남도 단천시 무학동,128.8809603,41.09289734
묵시역,평안북도 구장군 묵시리,125.9286847,39.86872413
묵천역,황해북도 은파군 묵천리,125.8551086,38.37580053
문덕역,평안남도 문덕군,125.5911549,39.4983787
문동청년역,강원도 이천군 문동리,126.9544734,38.57564458
문무리역,황해북도 서흥군 문무리,126.0667942,38.43421949
문봉역,함경남도 정평군 문봉리,127.4281329,39.60972155
문악역,자강도 만포시 문악동,126.3151154,41.21147674
문암역,함경남도 단천시 문암리,129.001786,40.47139298
문정역,황해남도 해주시 신광리,125.6361098,38.05883891
문천역,강원도 문천시 문천동,127.3551782,39.23459901
문천항선,강원도,127.4630503,38.72082385
문천항역,강원도,127.4650404,38.72095108
문필역,함경남도 천성리,126.8945929,39.47678853
문화역,황해남도 삼천군 수장리,125.3852049,38.35309975
물개역,황해북도 평산군,126.3219373,38.37608167
미둔역,함경남도 고원군 미둔리,127.1150539,39.44839212
미림역,평양직할시 사동구역 삼골동,125.8468752,39.02747771
민탕역,양강도 김정숙군 신상리,127.7929207,41.41134172
박천역,평안북도 박천군,125.5788721,39.72259841
방어역,평안북도 운산군 방어리,125.8009036,40.15755158
방진역,함경북도 청진시 청암구역 방진동,130.1948545,42.1524774
방현역,평안북도 구성시 방현동,125.2347614,39.89090451
방화역,함경남도 고원군 미둔리,127.1458795,39.43590895
배천선,황해남도 연안군,126.068137,37.93123094
배천역,황해남도 배천군,126.3013439,37.98590106
배화역,강원도 안변군 배화리,127.4873678,39.08822923
백금산역,함경남도 단천시 백금산동,128.8208759,40.89043695
백두산청년선,양강도 백암군,128.7657165,41.24255559
백마선,평안북도 피현군,124.5800739,40.0228686
백마역,평안북도 피현군,124.5612289,40.07427249
백무선,양강도 백암군,128.9886773,41.82266862
백산청년역,강원도 세포군 백산리,127.2983533,38.61934196
백석역,황해남도 신천군 백석리,125.5750773,38.39897253
백암청년역,양강도 백암군,128.8011446,41.24371124
백운역,평안북도 구성시 백운동,125.2195077,40.04054236
백원역,평안남도 성천군 백원리,126.1650613,39.18789903
백학역,,130.3859693,42.35416069
범포역,함경남도 금야군 범포리,127.4023163,39.51564626
베개봉역,양강도 삼지연군,128.3152803,41.78500007
벽성역,황해남도 벽성군,125.5461568,38.04713251
보산역,남포특별시 천리마구역 보산동,125.559868,38.89624303
보양역,함경남도 단천시,128.8597924,40.47252766
보천선,양강도 보천군,128.3826546,41.54505797
보천역,양강도 보천군,128.2934336,41.51480204
보통강역,평양직할시 보통강구역,125.7097463,39.03151024
복계역,강원도 평강군 복계리,127.2636378,38.43853507
봉강역,함경북도 어랑군 봉강리,129.6564429,41.338588
봉동역,황해북도 개성시,126.6221918,37.94637123
봉명역,평안북도 정주시 용포동,125.240386,39.79001177
봉산역,황해북도 봉산군,125.8616639,38.4677227
봉수역,양강도 보천군 화전리,128.2364523,41.4943927
봉창역,평안남도 북창군 봉창리,126.0599157,39.55325993
봉천역,평안남도 개천시 봉천동,125.9426178,39.7835228
봉학역,평안남도 평성시 봉학동,125.8849503,39.29764987
봉화역,평양직할시 중구역,125.7444461,39.01212564
부거역,함경북도 청진시 청암구역 부거리,129.9562201,42.02669587
부동역,함경남도 허천군,128.5842938,40.6348816
부래산역,함경남도 고원군,127.1833698,39.43756992
부령역,함경북도 부령군,129.7125265,42.062818
부산리역,평안남도 순천시 부흥동,126.003322,39.4665187
부성역,자강도 희천시 부흥리,126.2552452,40.12235725
부전령역,함경남도 부전군 백암리,127.5703867,40.39573133
부전역,함경남도 부전군,127.6155985,40.48941324
부전호반역,함경남도 부전군,127.5692458,40.54751254
부지역,자강도 성간군 부지리,126.5708175,40.88608917
부평역,함경남도 정평군 부평리,127.4074148,39.70493499
부포선,황해남도 강령군,125.5302102,37.88914328
부포역,황해남도 강령군,125.5883614,37.82623692
부풍역,평안북도 삭주군 신풍리,124.9489572,40.43538454
부흥역,평안남도 순천시 부흥동,126.0135734,39.48224094
부흥역,평양직할시,125.7175677,39.01076069
북계수역,양강도 백암군,128.8901093,41.26521631
북송리역,평안남도 안주시 용계리,125.7284211,39.64831978
북신현역,평안북도 향산군 북신현리,126.1221205,39.98484961
북중역,평안북도 용천군,124.433847,39.9513062
북창역,평안남도 북창군,126.3019753,39.57164203
분강역,평안북도 영변군,125.7377729,39.80244804
붉은별역,평양직할시 대성구역,125.7568668,39.06658889
비닐론역,함경남도 흥남시 소나무동,127.5700961,39.86553906
사구역,함경북도 청진시 청암구역 사구리,129.9496766,41.99311993
사도역,양강도 백암군 양곡리,128.9806631,41.15673305
사리원역,황해북도 사리원시,125.7568021,38.53296325
사리원청년역,황해북도 사리원시,125.7644437,38.50295731
사봉역,함경북도 청진시 송평구역 사봉동,129.7251926,41.75086419
사수역,함경남도 장진군,127.2688655,40.43961419
사오역,평안북도 구장군 사오리,125.8907174,39.88227211
사향역,자강도 자성군 상평리,126.6848952,41.45562998
사회역,나선특별시 사회리,130.5186786,42.45918512
산수역,황해남도 과일군 산수리,125.0516706,38.37245462
산양대역,양강도 백암군,128.858166,41.40091744
산위평역,양강도 보천군 가산리,128.2880204,41.54991972
산음역,평양직할시 형제산구역,125.7223665,39.12304659
삼거역,함경남도 영광군,127.2916584,40.18851041
삼덕역,평안남도 성천군 삼덕리,126.2274844,39.30250365
삼등역,평양직할시 강동군 삼등리,126.1769779,39.01214791
삼방역,강원도 세포군 삼방리,127.3642718,38.70781917
삼봉역,함경북도 온성군,129.7843852,42.68869423
삼사역,양강도 백암군 상담리,128.7797871,41.66919689
삼산역,평안북도 운산군 삼산리,125.7691934,40.19560001
삼소역,평안남도 순천시 오봉리,125.9490402,39.57085629
삼수청년역,양강도 삼수군,128.0311369,41.39872941
삼일포역,강원도 고성군,128.3223225,38.67020731
삼지연선,양강도,128.2807438,41.6237399
삼지연역,양강도 삼지연군,128.3193258,41.79689353
삼천역,황해남도 삼천군,125.3293294,38.35197697
삼천포역,평안남도 문덕군 용임이리,125.4310641,39.46594453
삼포역,양강도 삼지연군,128.2492603,41.67665314
삼해역,함경북도 청진시 청암구역 삼해동,130.0340682,42.07112392
삼향역,함경북도 화성군,129.5001513,41.25851774
삼호역,함경남도 낙원군,127.8743752,39.96242256
삼흥역,평양직할시 대성구역,125.7675064,39.06175638
상금골역,함경남도 단천시 금골일동,128.8182577,40.91983094
상농역,함경남도 허천군,128.7349692,40.60610286
상단역,양강도 백암군 상담리,128.7961937,41.6301235
상대역,양강도 김정숙군 상대리,127.9569743,41.43367903
상도내역,양강도 백암군,128.9226589,41.30648272
상룡전역,함경북도 화성군 용덕리,129.4186495,41.21599768
상리역,함경남도 덕성군,128.112396,40.51064652
상서역,평안북도 향산군 상서리,126.0269151,40.08797976
상수역,함경남도 흥남시 상수동,127.5634056,39.8708077
상신원역,자강도 낭림군,126.9617144,40.96803384
상음청년역,강원도 안변군 상음리,127.6051579,39.13234315
상일역,함경남도 덕성군,128.1455378,40.49473204
상진역,양강도 보천군,128.5086801,41.59644677
상통역,함경남도 영광군 상통리,127.3533263,40.09438795
상평역,함경남도 장진군 도내리,127.2753648,40.34581819
상풍강역,자강도 자성군,126.5366342,41.36181979
상황토역,양강도 백암군,128.8763619,41.36665956
새길역,함경북도 무산군,129.3053159,42.18818355
새동역,평양직할시 용성구역 마산동,125.8197123,39.17389841
새마을역,강원도 세포군 신생리,127.3244896,38.60988642
새별역,함경북도 새별군,130.2058872,42.81344714
생기령역,함경북도 경성군,129.6131407,41.62552131
생장역,양강도 운흥군,128.5416997,41.29003275
서광량역,평안남도 온천군 금곡리,125.2460475,38.80704941
서덕천역,평안남도 덕천시 오산동,126.2542104,39.7567168
서두역,양강도 백암군 서두리,128.8346415,41.44585496
서사역,평안남도 문덕군,125.3925898,39.46694798
서상역,함경북도 부령군 창평리,129.6979425,42.15205075
서석역,황해남도 벽성군 서원리,125.5988657,38.06912189
서창역,평안남도 덕천시 상덕동,126.1758475,39.72210279
서평양역,평양직할시 서성구역 서천동,125.7263609,39.05279503
서풍산역,함경북도 무산군 풍산리,129.3683952,42.15297786
서하역,강원도 세포군 서하리,127.2197352,38.65250825
서함흥역,함경남도 함흥시,127.5363717,39.90404301
서해갑문선,남포특별시 와우도구역,125.2125114,38.70985652
서해갑문역,남포특별시 와우도구역 갑문일동,125.2357341,38.73776503
서해리선,황해남도 은율군,125.1512166,38.63494234
서해리역,황해남도 은률군 서해리,125.1498922,38.62783888
서해주역,황해남도 해주시,125.6665445,38.03934323
서호역,함경남도 흥남시 서호일동,127.6505344,39.82767143
석간역,평안남도 개천시 조양동,126.0612445,39.70744647
석다역,평안남도 증산군 석다리,125.3537308,39.19125556
석름역,평양직할시 강동군,126.1620498,39.07065899
석막역,함경북도 부령군,129.7310938,41.87857003
석봉역,함경북도 부령군 창평리,129.6958363,42.16439563
석산역,평안남도 북창군,126.1616602,39.57013925
석탕온천역,평안남도 양덕군 삼계리,126.7647654,39.23087389
석하역,평안북도 신의주시 석하일동,124.454298,40.06016472
석현역,황해북도 서흥군 봉하리,126.1728876,38.42525465
선봉역,나선특별시 백학리,130.3790882,42.35274437
선천역,평안북도 선천군,124.9186978,39.79804621
성간역,자강도 성간군,126.562324,40.79273781
성내역,함경남도 성내리,126.9606869,39.44595421
성법역,평안남도 문덕군 성법리,125.5332867,39.49336125
성산역,강원도 세포군 성산리,127.3266489,38.58906307
성천강역,함경남도 흥남시 흰실동,127.5712988,39.85072412
성천역,평안남도 성천군,126.1918657,39.25127001
성평역,함경북도 온성군,129.9273429,42.79019486
성후역,함경북도 길주군 신동리,129.2084516,41.08733468
세선역,함경북도 온성군 세선리,129.947008,42.97268099
세천역,함경북도 회령시 세천동,129.8294397,42.57736005
세포리역,함경남도 낙원군 세포리,127.8190462,39.90609593
세포청년역,강원도 세포군,127.356718,38.64320042
소도역,함경북도 연사군 광양리,129.0006039,41.84583365
속후역,함경남도 속후리,128.3802527,40.11908128
손하역,황해북도 개성시,126.5816147,37.95773828
솔골역,평안남도 북창군,126.2343907,39.51965432
솔섬,함경남도 낙원군 여호리,127.7773993,39.87056579
송가역,평양직할시 강동군,126.1133934,38.99802063
송관역,남포특별시 와우도구역 송관리,125.1753405,38.66255358
송남청년역,평안남도 북창군,126.2645279,39.50900047
송단역,함경남도 이원군 송정리,128.6177782,40.30558563
송당역,함경남도 영광군 쌍송리,127.3748715,40.06343517
송도원역,강원도 원산시,127.3982044,39.18350177
송림선,황해북도 황주군,125.6746195,38.72314907
송림청년역,황해북도 송림시 신량리,125.6458046,38.72828923
송산역,황해북도 봉산군 송산리,125.7941849,38.46184659
송삼역,자강도 만포시 삼강리,126.4932888,41.34453443
송상역,함경북도 김책시 방학리,129.220882,40.77746995
송신역,평양직할시 사동구역 송화이동,125.7925099,38.99700735
송전역,양강도 김정숙군 송전리,127.5989531,41.42495995
